q,,,,,,,,,,,,,,,,,,,,,,,,
Timestamp,"Participation Invitation
We kindly invite you to share your experiences and opinions by completing this survey. The questionnaire will only take a few minutes of your time, and your insights will play a key role in enhancing the relevance and appeal of YNE’s free training programs.
Before we proceed, please confirm your consent to participate by answering the following question:
Do you consent to participate in this online survey?",Age,Gender,Sub City ,Education Level ,Employment Status,Do you have a Telegram account? ,Have you ever heard about The Youth Network Ethiopia (YNE)?,"If yes, how did you first learn about YNE? (Check all that apply)","If your answer to Question 2 is YES, and you were to participate in YNE training, which factors would be most important to you?",How do you access the internet? (Select all that apply),Which social media platforms have you used for online training purposes? (Select all that apply),How likely are you to join a free online training program offered by YNE?,What would be the most significant barriers for you to participate in free training sessions? (Select all that apply),Would you be interested in training sessions on the following topics? (Select all that apply),What motivates you to consider joining a free training program? (Select all that apply),What type of training delivery do you prefer? (Select all that apply),What is your preferred time for attending online training sessions?,How often would you prefer  free online training sessions to be offered?,Would you be more likely to attend free training sessions if they offered certification?,What topics or skills would you like free online training sessions to focus on?,How do you evaluate the overall questionnaire preparation?,What feedback and recommendations do you have for improving the questionnaire?,Area of Collection
1/20/2025 10:44:31,"Yes, I consent to participate.",17,Female,Yeka,Secondary Education (Grades 9–12),Student,Yes,No,,,Mobile data,"Telegram, YouTube",3,Lack of time,"Career development, Personal development",To gain new skills,Pre-recorded videos,Evening (4 PM–8 PM),Weekly,2,Self development skills,5,Nothing to add,4 kilo
1/20/2025 10:52:22,"Yes, I consent to participate.",17,Female,Lemi Kura,Secondary Education (Grades 9–12),Student,Yes,No,,,Mobile data,Telegram,1,"Lack of awareness, Poor internet access",Entrepreneurship and business management,Certification upon completion,"Reading materials (e.g., PDFs, guides)",Evening (4 PM–8 PM),Daily,1,Have no idea,5,Nothing to add,4 kilo
1/20/2025 10:56:40,"Yes, I consent to participate.",21,Female,Arada,Tertiary Education (Undergraduate),Student,Yes,Yes,Advertisements,Relevant topics,"Mobile data, Home Wi-Fi",Telegram,2,Lack of time,Digital skills,To gain new skills,"Self-paced online modules, Virtual workshops or webinars",Evening (4 PM–8 PM),Weekly,4,Digital skill,2,It's like good,4 kilo
1/20/2025 11:03:02,"Yes, I consent to participate.",16,Male,Arada,Secondary Education (Grades 9–12),Student,No,No,,,Home Wi-Fi,Telegram,1,Lack of time,Digital skills,To gain new skills,Pre-recorded videos,Evening (4 PM–8 PM),Daily,1,Anyting ,5,Amazing,4 kilo
1/20/2025 11:07:53,"Yes, I consent to participate.",19,Female,Arada,Tertiary Education (Undergraduate),Student,Yes,No,,,Public Wi-Fi,None,3,Lack of time,Digital skills,"To gain new skills, To improve career prospects, Personal interest, Networking opportunities, Certification upon completion","Pre-recorded videos, Interactive quizzes or activities, Discussion forums or group chats",Evening (4 PM–8 PM),Weekly,1,No idea for now,5,No feedback,4 kilo
1/20/2025 11:19:18,"Yes, I consent to participate.",19,Female,Lemi Kura,Tertiary Education (Undergraduate),Student,Yes,No,,,Public Wi-Fi,"Telegram, YouTube",5,"Lack of awareness, Lack of time","Digital skills, Entrepreneurship and business management",To gain new skills,Podcasts or audio materials,Afternoon (12 PM–4 PM),Monthly,5,Digital ,3,Good ,4 kilo
1/20/2025 11:19:29,"Yes, I consent to participate.",32,Male,Addis Ketema,Tertiary Education (Undergraduate),Full time,Yes,No,,,Mobile data,"Telegram, Facebook, TikTok",3,Lack of awareness,Digital skills,To gain new skills,Live sessions with Q&A,Evening (4 PM–8 PM),Weekly,3,AI,5,Not recommended ,4 kilo
1/20/2025 11:26:46,"Yes, I consent to participate.",32,Male,Lemi Kura,Secondary Education (Grades 9–12),Full time,Yes,No,,,"Mobile data, Home Wi-Fi",None of the above,1,Lack of awareness,Entrepreneurship and business management,"To gain new skills, To improve career prospects, Personal interest","Live sessions with Q&A, Pre-recorded videos, Reading materials (e.g., PDFs, guides), Interactive quizzes or activities, Discussion forums or group chats, Podcasts or audio materials, Self-paced online modules",Evening (4 PM–8 PM),Daily,3,Not recommended ,5,Not recommended ,4 kilo
1/20/2025 11:33:32,"Yes, I consent to participate.",23,Female,Bole,Completed Degree,Part time,Yes,Yes,"Social media (e.g., Facebook, Instagram)",Easy access to training materials,Mobile data,Telegram,1,Lack of awareness,Personal development,Networking opportunities,In-person training sessions (if applicable),Evening (4 PM–8 PM),Weekly,1,Personal development ,4,Its good ,4 kilo
1/20/2025 11:41:26,"Yes, I consent to participate.",23,Female,Yeka,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi",YouTube,5,Lack of time,Entrepreneurship and business management,Personal interest,Pre-recorded videos,Afternoon (12 PM–4 PM),Weekly,1,Freelancing ,3,Dont have any,4 kilo
1/20/2025 11:42:26,"Yes, I consent to participate.",24,Female,Bole,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi","Telegram, YouTube, TikTok",2,Lack of awareness,Entrepreneurship and business management,To gain new skills,Pre-recorded videos,Morning (8 AM–12 PM),Bi-weekly,1,Dentistry ,5,Not recommended ,4 kilo
1/20/2025 11:55:46,"Yes, I consent to participate.",21,Male,Lemi Kura,Secondary Education (Grades 9–12),Unemployed,Yes,No,,,Mobile data,"YouTube, TikTok",1,Lack of awareness,Digital skills,To gain new skills,Interactive quizzes or activities,Evening (4 PM–8 PM),Daily,1,Digital marketing,5,Not recommended ,4 kilo
1/20/2025 12:03:41,"Yes, I consent to participate.",31,Male,Akaki Kaliti,"Postgraduate Education (Master’s, Doctoral Level)",Student,No,No,,,"Mobile data, Home Wi-Fi",Coursera,5,Is there a strong platform ,"Career development, Entrepreneurship and business management","To gain new skills, To improve career prospects, Networking opportunities","Live sessions with Q&A, Virtual workshops or webinars, Blended (combination of online and in-person)",Evening (4 PM–8 PM),Weekly,1,"Career development, CV preparation ",4,Not recommended ,4 kilo
1/20/2025 12:14:56,"Yes, I consent to participate.",20,Female,Ledeta,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi, Public Wi-Fi","LinkedIn, Telegram, YouTube, TikTok",2,"Lack of awareness, Poor internet access, Lack of time","Career development, Digital skills, Personal development","To gain new skills, To improve career prospects, Personal interest, Certification upon completion","Live sessions with Q&A, Pre-recorded videos, Reading materials (e.g., PDFs, guides), Interactive quizzes or activities, Discussion forums or group chats, Podcasts or audio materials, In-person training sessions (if applicable)",Afternoon (12 PM–4 PM),Weekly,1,Online businesses ,5,Not recommended ,4 kilo
1/20/2025 13:01:26,"Yes, I consent to participate.",22,Female,Kolfe Keranio,Secondary Education (Grades 9–12),Unemployed,Yes,No,,,"Mobile data, Home Wi-Fi",None of the above,3,Lack of awareness,Entrepreneurship and business management,"To gain new skills, To improve career prospects, Personal interest",Podcasts or audio materials,Evening (4 PM–8 PM),Weekly,3,Not suggested ,4,Not recommended ,4 kilo
1/20/2025 13:05:18,"Yes, I consent to participate.",25,Male,Nifas Silk Lafto,Tertiary Education (Undergraduate),Full time,Yes,No,,,Mobile data,YouTube,2,Lack of time,"Career development, Personal development","To gain new skills, To improve career prospects, Certification upon completion","Live sessions with Q&A, Pre-recorded videos",Evening (4 PM–8 PM),Weekly,1,Personal development related ,5,It's fine ,4 kilo
1/20/2025 13:45:15,"Yes, I consent to participate.",19,Male,Yeka,Primary Education (Grades 1–8),Full time,No,No,,,Mobile data,None of the above,5,Lack of time,"Career development, Personal development","To gain new skills, To improve career prospects, Networking opportunities, Certification upon completion","Pre-recorded videos, Discussion forums or group chats, Podcasts or audio materials",Evening (4 PM–8 PM),Bi-weekly,3,Not suggested ,5,Not recommended ,4 kilo
1/20/2025 14:08:51,"Yes, I consent to participate.",18,Male,Ledeta,Tertiary Education (Undergraduate),Student,No,No,,,Home Wi-Fi,YouTube,5,Topics not aligning with personal/career interests,Personal development,"To gain new skills, To improve career prospects, Personal interest","Reading materials (e.g., PDFs, guides), Virtual workshops or webinars, Blended (combination of online and in-person)",Evening (4 PM–8 PM),Daily,1,Programming ,5,Not recommended ,4 kilo
1/20/2025 14:12:41,"Yes, I consent to participate.",20,Female,Yeka,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi",Telegram,3,Lack of time,Digital skills,Personal interest,Self-paced online modules,Evening (4 PM–8 PM),Bi-weekly,3,Digital skills,3,It should be more detailed,4 kilo
1/20/2025 14:13:10,"Yes, I consent to participate.",23,Male,Arada,Secondary Education (Grades 9–12),Student,Yes,No,,,"Mobile data, Home Wi-Fi","Telegram, WhatsApp",4,Lack of awareness,Digital skills,To gain new skills,Live sessions with Q&A,Evening (4 PM–8 PM),Weekly,3,Video editing ,5,Amazing ,4 kilo
1/20/2025 14:17:55,"Yes, I consent to participate.",27,Male,Yeka,Tertiary Education (Undergraduate),Part time,No,No,,,Mobile data,"Telegram, YouTube",5,"Lack of time, Topics not aligning with personal/career interests",Career development,"To gain new skills, To improve career prospects, Personal interest","Live sessions with Q&A, Pre-recorded videos, Reading materials (e.g., PDFs, guides), Interactive quizzes or activities",Evening (4 PM–8 PM),Weekend ,5,Not suggested ,5,Its good,4 kilo
1/20/2025 14:21:10,"Yes, I consent to participate.",18,Female,Kirkos,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi, Public Wi-Fi","LinkedIn, Telegram, YouTube, Facebook",3,"Lack of awareness, Lack of time, Topics not aligning with personal/career interests","Digital skills, Personal development","To gain new skills, Personal interest","Live sessions with Q&A, Pre-recorded videos",Evening (4 PM–8 PM),Daily,3,Computer skills,4,Not recommended ,4 kilo
1/20/2025 14:28:45,"Yes, I consent to participate.",22,Female,Yeka,Tertiary Education (Undergraduate),Student,Yes,No,,,Mobile data,Telegram,1,"Lack of awareness, Poor internet access, Lack of time, Topics not aligning with personal/career interests","Career development, Digital skills, Entrepreneurship and business management, Personal development","To gain new skills, To improve career prospects, Personal interest, Networking opportunities, Certification upon completion","Reading materials (e.g., PDFs, guides), Podcasts or audio materials",Evening (4 PM–8 PM),Weekly,1,Self development ,5,Not recommended ,4 kilo
1/20/2025 14:31:38,"Yes, I consent to participate.",20,Female,Addis Ketema,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi","Telegram, TikTok",5,Lack of awareness,Digital skills,To gain new skills,Live sessions with Q&A,Afternoon (12 PM–4 PM),Weekly,5,Not suggested ,5,Not recommended ,4 kilo
1/20/2025 14:37:48,"Yes, I consent to participate.",21,Female,Kirkos,Secondary Education (Grades 9–12),Student,Yes,No,,,"Mobile data, Home Wi-Fi","Telegram, YouTube",2,Lack of awareness,Digital skills,To gain new skills,Live sessions with Q&A,Evening (4 PM–8 PM),Weekly,4,Personal development ,2,No ,4 kilo
1/20/2025 14:39:28,"Yes, I consent to participate.",22,Female,Bole,Secondary Education (Grades 9–12),Student,Yes,No,,,"Mobile data, Home Wi-Fi","LinkedIn, Telegram, WhatsApp",3,Poor internet access,Personal development,Networking opportunities,Pre-recorded videos,Evening (4 PM–8 PM),Bi-weekly,2,Mind set,3,Nice,4 kilo
1/20/2025 14:39:37,"Yes, I consent to participate.",20,Female,Lemi Kura,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi",Telegram,1,Lack of awareness,No,To improve career prospects,"Pre-recorded videos, Podcasts or audio materials, Self-paced online modules",Evening (4 PM–8 PM),Weekly,3,Programming ,5,Not recommended ,4 kilo
1/20/2025 14:42:34,"Yes, I consent to participate.",19,Female,Bole,Tertiary Education (Undergraduate),Student,Yes,No,,,Home Wi-Fi,Telegram,1,"Lack of awareness, Poor internet access","Digital skills, Personal development","To gain new skills, Personal interest, Certification upon completion","Live sessions with Q&A, Reading materials (e.g., PDFs, guides)",Evening (4 PM–8 PM),Weekly,1,Computer analysis ,5,Not so far,4 kilo
1/20/2025 14:48:02,"Yes, I consent to participate.",24,Male,Kirkos,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi","Telegram, Facebook, TikTok",2,Poor internet access,Personal development,To improve career prospects,Live sessions with Q&A,Evening (4 PM–8 PM),Weekly,3,Graphics ,2,No problem,4 kilo
1/20/2025 14:52:00,"Yes, I consent to participate.",16,Female,Addis Ketema,Secondary Education (Grades 9–12),Full time,No,No,,,Home Wi-Fi,YouTube,4,Poor internet access,Personal development,To gain new skills,Self-paced online modules,Afternoon (12 PM–4 PM),Daily,2,Economic,5,Not recommended ,4 kilo
1/20/2025 15:10:55,"Yes, I consent to participate.",20,Female,Addis Ketema,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi",YouTube,4,Lack of time,Digital skills,To gain new skills,Podcasts or audio materials,Afternoon (12 PM–4 PM),Weekly,3,Digital skills,5,Good questions ,4 kilo
1/20/2025 15:18:20,"Yes, I consent to participate.",20,Male,Kirkos,Secondary Education (Grades 9–12),Student,Yes,No,,,"Mobile data, Home Wi-Fi","LinkedIn, Telegram",3,"Lack of awareness, Poor internet access",Digital skills,"To gain new skills, Networking opportunities",Self-paced online modules,Evening (4 PM–8 PM),Bi-weekly,3,Self improvement ,3,Nice,4 kilo
1/20/2025 15:18:32,"Yes, I consent to participate.",24,Male,Arada,Secondary Education (Grades 9–12),Part time,Yes,No,,,Mobile data,YouTube,2,"Lack of awareness, Lack of time",Career development,To gain new skills,"Live sessions with Q&A, Pre-recorded videos",Evening (4 PM–8 PM),Bi-weekly,1,Not recommended ,5,Keep it up,4 kilo
1/20/2025 15:19:44,"Yes, I consent to participate.",20,Female,Nifas Silk Lafto,Secondary Education (Grades 9–12),Student,Yes,No,,,Mobile data,"Telegram, WhatsApp",3,Lack of time,Digital skills,To gain new skills,Live sessions with Q&A,Evening (4 PM–8 PM),Bi-weekly,4,Mind set,3,No,4 kilo
1/20/2025 15:21:52,"Yes, I consent to participate.",23,Female,Kolfe Keranio,Secondary Education (Grades 9–12),Student,Yes,No,,,"Mobile data, Home Wi-Fi",Telegram,3,Lack of time,"Digital skills, Personal development","To gain new skills, Networking opportunities",Self-paced online modules,Evening (4 PM–8 PM),Bi-weekly,2,Self management ,4,Good,4 kilo
1/20/2025 15:24:04,"Yes, I consent to participate.",23,Male,Gullele,Tertiary Education (Undergraduate),Part time,Yes,No,,,"Mobile data, Home Wi-Fi, Public Wi-Fi","Telegram, YouTube, Facebook",3,"Lack of awareness, Poor internet access","Career development, Personal development","To gain new skills, To improve career prospects, Personal interest, Networking opportunities, Certification upon completion","Live sessions with Q&A, Pre-recorded videos, Reading materials (e.g., PDFs, guides), Interactive quizzes or activities",Afternoon (12 PM–4 PM),Daily,1,YouTube ,3,Not bad,4 kilo
1/20/2025 15:28:13,"Yes, I consent to participate.",21,Female,Bole,Secondary Education (Grades 9–12),Student,Yes,No,,,"Mobile data, Home Wi-Fi","Telegram, YouTube",3,"Lack of awareness, Poor internet access","Career development, Entrepreneurship and business management, Personal development","To gain new skills, Networking opportunities","Live sessions with Q&A, Pre-recorded videos",Evening (4 PM–8 PM),Bi-weekly,4,Personal development ,4,Amazing ,4 kilo
1/20/2025 15:29:01,"Yes, I consent to participate.",16,Male,Gullele,Secondary Education (Grades 9–12),Student,Yes,No,,,"Mobile data, Home Wi-Fi","Telegram, YouTube, A separate website that works through zoom",3,"Lack of awareness, Lack of time","Career development, Entrepreneurship and business management, Financial management skills","To gain new skills, Networking opportunities, Certification upon completion","Pre-recorded videos, Reading materials (e.g., PDFs, guides), Interactive quizzes or activities, Self-paced online modules, Blended (combination of online and in-person)",Evening (4 PM–8 PM),Bi-weekly,4,Entrepreneurship,5,Its good enough,4 kilo
1/20/2025 15:36:03,"Yes, I consent to participate.",18,Male,Yeka,Secondary Education (Grades 9–12),Student,No,No,,,Mobile data,Instagram,5,"Lack of awareness, Topics not aligning with personal/career interests",Personal development,"To gain new skills, Personal interest, Networking opportunities, Certification upon completion","Interactive quizzes or activities, Discussion forums or group chats, Virtual workshops or webinars",Evening (4 PM–8 PM),Weekly,1,Personal development ,5,Not recommended ,4 kilo
1/20/2025 15:40:09,"Yes, I consent to participate.",24,Male,Yeka,Tertiary Education (Undergraduate),Unemployed,Yes,Yes,"Social media (e.g., Facebook, Instagram)",Relevant topics,"Mobile data, Home Wi-Fi","LinkedIn, Telegram, WhatsApp, YouTube, TikTok",1,"Lack of time, Topics not aligning with personal/career interests","Career development, Digital skills, Entrepreneurship and business management, Personal development","To gain new skills, To improve career prospects, Personal interest, Networking opportunities, Certification upon completion","Live sessions with Q&A, Pre-recorded videos, Reading materials (e.g., PDFs, guides), Interactive quizzes or activities, Discussion forums or group chats, Virtual workshops or webinars, In-person training sessions (if applicable), Blended (combination of online and in-person)",Evening (4 PM–8 PM),Weekly,1,Digital skills ,5,Nothing ,4 kilo
1/20/2025 15:45:35,"Yes, I consent to participate.",20,Male,Lemi Kura,Tertiary Education (Undergraduate),Student,Yes,No,,,Mobile data,"Telegram, YouTube",5,"Lack of time, Interest ",Digital skills,"To gain new skills, To improve career prospects, Personal interest, Certification upon completion","Pre-recorded videos, Reading materials (e.g., PDFs, guides), Interactive quizzes or activities, Discussion forums or group chats",Afternoon (12 PM–4 PM),Daily,1,Computer science ,5,Not recommended ,4 kilo
1/20/2025 15:54:08,"Yes, I consent to participate.",26,Male,Bole,Tertiary Education (Undergraduate),Full time,Yes,No,,,Mobile data,YouTube,5,Less job opportunity ,Digital skills,"To gain new skills, To improve career prospects","Live sessions with Q&A, Pre-recorded videos, Reading materials (e.g., PDFs, guides)",Evening (4 PM–8 PM),Daily,5,Graphics design and video editor ,5,I found it well organized thanks!,4 kilo
1/20/2025 15:57:33,"Yes, I consent to participate.",15,Female,Addis Ketema,Secondary Education (Grades 9–12),Student,Yes,No,,,Home Wi-Fi,"Telegram, WhatsApp, YouTube, Twitter/X, TikTok",1,Lack of time,Personal development,To gain new skills,Self-paced online modules,Evening (4 PM–8 PM),Weekly,1,Physics,3,More teenage like,4 kilo
1/20/2025 16:06:32,"Yes, I consent to participate.",29,Male,Lemi Kura,Tertiary Education (Undergraduate),Unemployed,Yes,No,,,Mobile data,None of the above,5,Topics not aligning with personal/career interests,Personal development,To gain new skills,Live sessions with Q&A,Morning (8 AM–12 PM),Weekly,5,About technology ,3,Nothing,4 kilo
1/20/2025 16:19:15,"Yes, I consent to participate.",30,Male,Addis Ketema,"Postgraduate Education (Master’s, Doctoral Level)",Full time,Yes,No,,,Home Wi-Fi,Telegram,4,"Topics not aligning with personal/career interests, Don't seek attention, poor content ","Career development, Digital skills",To gain new skills,"Live sessions with Q&A, Pre-recorded videos, Reading materials (e.g., PDFs, guides), Interactive quizzes or activities, Discussion forums or group chats, Podcasts or audio materials, Self-paced online modules",Evening (4 PM–8 PM),Weekly,1,"Safety related, first aid, fire and traffic safety, nutrition, ergonomics, construction, electrical courses and IT related ",5,Include income on the first personal questions but its better overall thanks,4 kilo
1/20/2025 16:30:18,"Yes, I consent to participate.",25,Male,Akaki Kaliti,Completed Degree,Full time,Yes,No,,,Mobile data,"LinkedIn, Telegram",2,"Lack of time, Commitment and dedication ",Digital skills,Networking opportunities,Live sessions with Q&A,Evening (4 PM–8 PM),Monthly,2,Data Analysis ,4,Its good and precise.,4 kilo
1/21/2025 8:48:21,"Yes, I consent to participate.",21,Male,Bole,Tertiary Education (Undergraduate),Student,Yes,No,,,Mobile data,Telegram,4,Lack of time,Digital skills,Personal interest,Podcasts or audio materials,Evening (4 PM–8 PM),Bi-weekly,3,Editing,3,Cancel the double choice for some of the questions ,4 kilo
1/21/2025 8:55:39,"Yes, I consent to participate.",23,Male,Arada,Tertiary Education (Undergraduate),Student,Yes,No,,,Home Wi-Fi,YouTube,2,"Lack of time, Topics not aligning with personal/career interests",Digital skills,To gain new skills,"Pre-recorded videos, Reading materials (e.g., PDFs, guides)",Afternoon (12 PM–4 PM),Daily,3,Digital skills,5,It was perfect!,4 kilo
1/21/2025 9:04:18,"Yes, I consent to participate.",19,Female,Kirkos,Tertiary Education (Undergraduate),Student,Yes,No,,,Home Wi-Fi,YouTube,3,Lack of time,Digital skills,Personal interest,Pre-recorded videos,Evening (4 PM–8 PM),Bi-weekly,3,Digital skil,4,There is no feedback,4 kilo
1/21/2025 9:20:18,"Yes, I consent to participate.",30,Male,Kolfe Keranio,Tertiary Education (Undergraduate),Part time,Yes,No,,,Mobile data,"Telegram, YouTube",2,"Lack of awareness, Topics not aligning with personal/career interests","Digital skills, Entrepreneurship and business management","To gain new skills, To improve career prospects, Networking opportunities","Pre-recorded videos, Podcasts or audio materials, Virtual workshops or webinars",Afternoon (12 PM–4 PM),Bi-weekly,3,Software development ,3,"Questions on first part too personal should not include age, sex, sub city and educational background ",4 kilo
1/21/2025 9:34:57,"Yes, I consent to participate.",24,Female,Kolfe Keranio,Completed Degree,Unemployed,Yes,Yes,"Social media (e.g., Facebook, Instagram)",Flexible scheduling,Home Wi-Fi,YouTube,1,Lack of time,Entrepreneurship and business management,To gain new skills,Self-paced online modules,Morning (8 AM–12 PM),Weekly,5,Not recommended ,5,Not recommended ,4 kilo
1/21/2025 9:39:05,"Yes, I consent to participate.",19,Female,Bole,Tertiary Education (Undergraduate),Student,Yes,No,,,Mobile data,"LinkedIn, Telegram, YouTube, TikTok",2,"Lack of awareness, Poor internet access","Career development, Digital skills, Entrepreneurship and business management, Personal development","To gain new skills, To improve career prospects, Personal interest, Networking opportunities, Certification upon completion","Pre-recorded videos, Podcasts or audio materials, Self-paced online modules",Afternoon (12 PM–4 PM),Bi-weekly,4,Digital literacy ,4,No,4 kilo
1/21/2025 9:50:01,"Yes, I consent to participate.",26,Male,Arada,Tertiary Education (Undergraduate),Student,Yes,No,,,Mobile data,Telegram,3,Topics not aligning with personal/career interests,Digital skills,To gain new skills,Pre-recorded videos,Afternoon (12 PM–4 PM),Bi-weekly,2,Computer or digital training,5,It is important for youths,4 kilo
1/21/2025 9:57:22,"Yes, I consent to participate.",22,Female,Arada,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi",Telegram,3,Lack of time,"Career development, Digital skills","To gain new skills, To improve career prospects","Pre-recorded videos, Reading materials (e.g., PDFs, guides), Self-paced online modules",Evening (4 PM–8 PM),Weekly,3,Ui/ux design,4,Its good,4 kilo
1/21/2025 10:07:24,"Yes, I consent to participate.",31,Male,Lemi Kura,"Postgraduate Education (Master’s, Doctoral Level)",Full time,Yes,No,,,Mobile data,"LinkedIn, Telegram, WhatsApp, YouTube, Facebook, TikTok",3,"Lack of awareness, Lack of time","Career development, Digital skills, Entrepreneurship and business management, Personal development","To gain new skills, To improve career prospects, Personal interest, Networking opportunities, Certification upon completion","Reading materials (e.g., PDFs, guides), Interactive quizzes or activities, Virtual workshops or webinars",Morning (8 AM–12 PM),Monthly,2,"Personal development and leadership, enterpreneurship ",4,Satifactory,4 kilo
1/21/2025 10:13:00,"Yes, I consent to participate.",18,Male,Lemi Kura,Tertiary Education (Undergraduate),Student,No,No,,,Mobile data,WhatsApp,3,"Lack of awareness, Poor internet access","Digital skills, Personal development","To gain new skills, Certification upon completion","Pre-recorded videos, Discussion forums or group chats, Self-paced online modules, In-person training sessions (if applicable), Blended (combination of online and in-person)",Evening (4 PM–8 PM),Daily,1,Personal brand,4,No,4 kilo
1/21/2025 10:33:00,"Yes, I consent to participate.",33,Female,Kirkos,Tertiary Education (Undergraduate),Full time,Yes,No,,,Home Wi-Fi,Telegram,5,"Lack of awareness, Lack of time",Entrepreneurship and business management,"To gain new skills, To improve career prospects, Networking opportunities, Certification upon completion","Live sessions with Q&A, Pre-recorded videos, Reading materials (e.g., PDFs, guides)",Evening (4 PM–8 PM),Bi-weekly,1,Accounting and business related ,5,Not recommended ,4 kilo
1/21/2025 10:42:46,"Yes, I consent to participate.",19,Female,Bole,Secondary Education (Grades 9–12),Student,Yes,No,,,"Mobile data, Home Wi-Fi, Public Wi-Fi","Telegram, YouTube, TikTok",1,"Lack of awareness, Poor internet access","Career development, Digital skills, Entrepreneurship and business management, Personal development","To gain new skills, To improve career prospects, Certification upon completion","Reading materials (e.g., PDFs, guides), Interactive quizzes or activities, Discussion forums or group chats",Evening (4 PM–8 PM),Bi-weekly,1,"Technologies, education,",5,Not recommended ,4 kilo
1/21/2025 10:55:03,"Yes, I consent to participate.",34,Male,Nifas Silk Lafto,"Postgraduate Education (Master’s, Doctoral Level)",Full time,Yes,No,,,Mobile data,"LinkedIn, Telegram, WhatsApp, YouTube, Facebook, Twitter/X, TikTok",4,Lack of time,Entrepreneurship and business management,Personal interest,Discussion forums or group chats,Morning (8 AM–12 PM),Bi-weekly,2,Data mining ,4,No feed back,4 kilo
1/21/2025 11:02:33,"Yes, I consent to participate.",21,Female,Nifas Silk Lafto,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi, Public Wi-Fi","Telegram, WhatsApp, YouTube, TikTok",2,"Lack of awareness, Lack of time","Career development, Digital skills, Entrepreneurship and business management, Personal development","To gain new skills, To improve career prospects, Personal interest","Live sessions with Q&A, Pre-recorded videos, Reading materials (e.g., PDFs, guides), Interactive quizzes or activities, Discussion forums or group chats, Podcasts or audio materials, Self-paced online modules, Virtual workshops or webinars",Evening (4 PM–8 PM),Weekly,2,Self development and trading,5,This is good questionnaire to get plenty of data from many people since it is short and simple.,4 kilo
1/21/2025 11:07:27,"Yes, I consent to participate.",18,Male,Lemi Kura,Secondary Education (Grades 9–12),Student,Yes,No,,,"Mobile data, Home Wi-Fi, Public Wi-Fi",LinkedIn,3,Lack of time,"Career development, Digital skills, Personal development",Personal interest,"Live sessions with Q&A, Podcasts or audio materials",Evening (4 PM–8 PM),Weekly,5,No,3,Not recommended ,4 kilo
1/21/2025 11:20:12,"Yes, I consent to participate.",14,Male,Arada,Primary Education (Grades 1–8),Student,No,No,,,Home Wi-Fi,YouTube,5,Lack of time,Digital skills,"To gain new skills, Certification upon completion",Live sessions with Q&A,Morning (8 AM–12 PM),Daily,5,Ai,3,Nothing ,4 kilo
1/21/2025 11:29:01,"Yes, I consent to participate.",21,Male,Arada,Secondary Education (Grades 9–12),Student,Yes,No,,,Mobile data,"YouTube, None of the above",3,Lack of awareness,"Digital skills, Entrepreneurship and business management","To improve career prospects, Personal interest, Networking opportunities","Podcasts or audio materials, Virtual workshops or webinars",Evening (4 PM–8 PM),Weekly,5,Digital marketing,4,Its good,4 kilo
1/21/2025 11:36:03,"Yes, I consent to participate.",24,Female,Akaki Kaliti,Tertiary Education (Undergraduate),Unemployed,Yes,No,,,"Mobile data, Home Wi-Fi","LinkedIn, YouTube",5,Lack of awareness,"Career development, Entrepreneurship and business management, Personal development","To gain new skills, Personal interest, Networking opportunities","Discussion forums or group chats, Podcasts or audio materials, Virtual workshops or webinars, In-person training sessions (if applicable)",Morning (8 AM–12 PM),Bi-weekly,1,I wanna be an enterpreneur so so i prefer more business related and enterprenerial focused programs,4,Not recommended ,4 kilo
1/21/2025 11:42:19,"Yes, I consent to participate.",23,Female,Kolfe Keranio,Tertiary Education (Undergraduate),Student,Yes,No,,,"Mobile data, Home Wi-Fi","Telegram, YouTube, TikTok",3,"Lack of awareness, Lack of time",Entrepreneurship and business management,"To gain new skills, Personal interest, Certification upon completion","Reading materials (e.g., PDFs, guides), Discussion forums or group chats",Evening (4 PM–8 PM),Weekly,2,Salesman ship,4,Great ,4 kilo
1/21/2025 11:55:25,"Yes, I consent to participate.",19,Male,Ledeta,Primary Education (Grades 1–8),Part time,No,No,,,"Home Wi-Fi, Public Wi-Fi",TikTok,3,Lack of time,Career development,To gain new skills,Live sessions with Q&A,Evening (4 PM–8 PM),Daily,3,Trading,4,Its good,4 kilo
